country,new_cases,tests_done,population,testing_rate,positivity_rate,datetime
Czechia,4.816478117143118,1.3858458081699785,-0.2073732616300669,1.3858458084903822,1.5018409579726966,2022-01-31
Czechia,3.133162159785221,0.7554791361287986,-0.2073732616300669,0.7554791361654806,1.3841530908723891,2022-02-07
Czechia,1.8649202654168566,0.34290727085958406,-0.2073732616300669,0.3429072708707408,1.1008520622911977,2022-02-14
Czechia,0.9153094599569216,-0.1632011641082496,-0.2073732616300669,-0.16320116415919428,1.200420642160573,2022-02-21
Czechia,0.6103463211296034,-0.308647589194452,-0.2073732616300669,-0.3086475892083492,1.2026589406557664,2022-02-28
Czechia,0.6007787560728256,-0.375536215948575,-0.2073732616300669,-0.3755362158379333,1.4627432805064886,2022-03-07
Czechia,0.6053826971527788,-0.43671680752471814,-0.2073732616300669,-0.4367168076391388,1.792661405459793,2022-03-14
Czechia,0.5043118031319308,-0.4603130728782844,-0.2073732616300669,-0.4603130729130362,1.702440016709588,2022-03-21
Czechia,0.3127926499778349,-0.4907358397622725,-0.2073732616300669,-0.4907358397437181,1.418449000674995,2022-03-28
Czechia,0.06067891813081303,-0.5625008833935293,-0.2073732616300669,-0.5625008833340323,1.1586863902284048,2022-04-04
Czechia,-0.24361281262234533,-0.6567943462703099,-0.2073732616300669,-0.6567943462060422,0.7158863764088156,2022-04-11
Czechia,-0.3621642954311408,-0.6930456727237048,-0.2073732616300669,-0.6930456727395863,0.44285929026389786,2022-04-18
Czechia,-0.3940082212341506,-0.713103341944976,-0.2073732616300669,-0.7131033419744258,0.4246130379735832,2022-04-25
Czechia,-0.5377135279641488,-0.7635644941476072,-0.2073732616300669,-0.7635644941735346,-0.06809041473848407,2022-05-02
Czechia,-0.608403206629264,-0.8100628043601206,-0.2073732616300669,-0.8100628043954231,-0.3215630792979836,2022-05-09
Czechia,-0.6376334367150086,-0.831060563834522,-0.2073732616300669,-0.83106056385915,-0.48660684716119107,2022-05-16
Czechia,-0.6532676532990164,-0.8384414775655078,-0.2073732616300669,-0.8384414775942637,-0.6302563696326738,2022-05-23
Czechia,-0.6564568416512757,-0.848956025473594,-0.2073732616300669,-0.8489560255030578,-0.6121687935446474,2022-05-30
Czechia,-0.6451867775493069,-0.8589691919133441,-0.2073732616300669,-0.8589691919564453,-0.3566014296862492,2022-06-06
Czechia,-0.6348279101194121,-0.8622040665792432,-0.2073732616300669,-0.8622040666222665,-0.14185382596402357,2022-06-13
Czechia,-0.6001544788610144,-0.86022987704767,-0.2073732616300669,-0.860229877077112,0.40518850425086955,2022-06-20
Czechia,-0.536538563834369,-0.8369228702335283,-0.2073732616300669,-0.8369228702637435,0.7918128807476966,2022-06-27
Czechia,-0.5421735958853535,-0.8533865021024483,-0.2073732616300669,-0.8533865021307674,1.1353776746380428,2022-07-04
Czechia,-0.4298326377625366,-0.811429550958902,-0.2073732616300669,-0.8114295509877322,1.3877474465874413,2022-07-11
Czechia,-0.3113770703929068,-0.7858181177806773,-0.2073732616300669,-0.7858181178042233,1.855482987197808,2022-07-18
Czechia,-0.2943041222214136,-0.7803125635802948,-0.2073732616300669,-0.7803125635989754,1.8717262063443068,2022-07-25
Czechia,-0.34075117363740004,-0.794532031280845,-0.2073732616300669,-0.7945320313009324,1.8074799890480209,2022-08-01
Czechia,-0.38885276637899463,-0.8056877689513227,-0.2073732616300669,-0.8056877689932854,1.6407076854852047,2022-08-08
Czechia,-0.38422484643925,-0.8081970867808315,-0.2073732616300669,-0.80819708682456,1.7418667481954822,2022-08-15
Czechia,-0.4328779529560473,-0.8206352039760917,-0.2073732616300669,-0.8206352040066415,1.5732857380903025,2022-08-22
